speaker1,speaker2,mixed_audio,speaker1_path,speaker2_path
id02057,id02542,multi_speaker_dataset/train/id02057_id02542_mix.wav,/content/vox2/aac/id02057/DrbyaYTA1II/00128.m4a,/content/vox2/aac/id02542/ypSDV__lsTg/00112.m4a
id01989,id03347,multi_speaker_dataset/train/id01989_id03347_mix.wav,/content/vox2/aac/id01989/T16KgSbv7DI/00119.m4a,/content/vox2/aac/id03347/JbbZ8at5OF8/00090.m4a
id01892,id03524,multi_speaker_dataset/train/id01892_id03524_mix.wav,/content/vox2/aac/id01892/Wmv6Lm99t1w/00096.m4a,/content/vox2/aac/id03524/YPoOz0F-s2I/00242.m4a
id01333,id02317,multi_speaker_dataset/train/id01333_id02317_mix.wav,/content/vox2/aac/id01333/wQE4ssF-vhQ/00418.m4a,/content/vox2/aac/id02317/izudwWTXuUk/00419.m4a
id01224,id01593,multi_speaker_dataset/train/id01224_id01593_mix.wav,/content/vox2/aac/id01224/6vPLum6uJVg/00057.m4a,/content/vox2/aac/id01593/4u5zByjYEkM/00022.m4a
id02181,id03347,multi_speaker_dataset/train/id02181_id03347_mix.wav,/content/vox2/aac/id02181/dQwmofyR2uY/00099.m4a,/content/vox2/aac/id03347/UkO3JubUo8Y/00187.m4a
id02019,id01333,multi_speaker_dataset/train/id02019_id01333_mix.wav,/content/vox2/aac/id02019/OrbKMUVLhEQ/00092.m4a,/content/vox2/aac/id01333/ZAwqKT7EHBg/00274.m4a
id02019,id02057,multi_speaker_dataset/train/id02019_id02057_mix.wav,/content/vox2/aac/id02019/UcmWwWlppQs/00106.m4a,/content/vox2/aac/id02057/g70-7-26wnE/00344.m4a
id03127,id03524,multi_speaker_dataset/train/id03127_id03524_mix.wav,/content/vox2/aac/id03127/wzS06bKAZ48/00354.m4a,/content/vox2/aac/id03524/GkvScYvOJ7o/00096.m4a
id02019,id01989,multi_speaker_dataset/train/id02019_id01989_mix.wav,/content/vox2/aac/id02019/klZIBdP8-do/00219.m4a,/content/vox2/aac/id01989/8B7QqF8su3U/00030.m4a
id01298,id01822,multi_speaker_dataset/train/id01298_id01822_mix.wav,/content/vox2/aac/id01298/erPAesqeYoE/00284.m4a,/content/vox2/aac/id01822/bCs5SoifsiY/00135.m4a
id02725,id01822,multi_speaker_dataset/train/id02725_id01822_mix.wav,/content/vox2/aac/id02725/vGPYBT4eeWk/00032.m4a,/content/vox2/aac/id01822/jfubCRGr2Tk/00183.m4a
id01224,id03178,multi_speaker_dataset/train/id01224_id03178_mix.wav,/content/vox2/aac/id01224/eYWcMCsgkLY/00271.m4a,/content/vox2/aac/id03178/KHelFt1Jyyg/00057.m4a
id03041,id02057,multi_speaker_dataset/train/id03041_id02057_mix.wav,/content/vox2/aac/id03041/g5YLpUZBNKc/00020.m4a,/content/vox2/aac/id02057/2KL8PfQPmBg/00045.m4a
id02019,id02577,multi_speaker_dataset/train/id02019_id02577_mix.wav,/content/vox2/aac/id02019/2Ro7HJfMr10/00007.m4a,/content/vox2/aac/id02577/nUbewcS__Ww/00101.m4a
id03030,id02086,multi_speaker_dataset/train/id03030_id02086_mix.wav,/content/vox2/aac/id03030/yl-93nl6Skc/00375.m4a,/content/vox2/aac/id02086/cNhS3-TArfQ/00365.m4a
id01460,id02577,multi_speaker_dataset/train/id01460_id02577_mix.wav,/content/vox2/aac/id01460/cH23Eq0_fD4/00194.m4a,/content/vox2/aac/id02577/wfgRMT2aB9U/00149.m4a
id03127,id01106,multi_speaker_dataset/train/id03127_id01106_mix.wav,/content/vox2/aac/id03127/iWeklsXc0H8/00278.m4a,/content/vox2/aac/id01106/6SFpvp42pMA/00020.m4a
id00562,id00081,multi_speaker_dataset/train/id00562_id00081_mix.wav,/content/vox2/aac/id00562/qchaWeAfOmg/00217.m4a,/content/vox2/aac/id00081/oICidf_tyKI/00182.m4a
id00866,id02057,multi_speaker_dataset/train/id00866_id02057_mix.wav,/content/vox2/aac/id00866/xQ1Yy0kjvjA/00256.m4a,/content/vox2/aac/id02057/EKhTzMKYKb0/00133.m4a
id01066,id00817,multi_speaker_dataset/train/id01066_id00817_mix.wav,/content/vox2/aac/id01066/aPB2u8N-jLs/00150.m4a,/content/vox2/aac/id00817/Y1sD1xERFRo/00291.m4a
id02548,id02086,multi_speaker_dataset/train/id02548_id02086_mix.wav,/content/vox2/aac/id02548/ecsCvCvm0kQ/00269.m4a,/content/vox2/aac/id02086/7XaT8--x4I0/00086.m4a
id01066,id02725,multi_speaker_dataset/train/id01066_id02725_mix.wav,/content/vox2/aac/id01066/hbWT9475MJA/00174.m4a,/content/vox2/aac/id02725/GpongLybzsk/00028.m4a
id00926,id00154,multi_speaker_dataset/train/id00926_id00154_mix.wav,/content/vox2/aac/id00926/2Nd7f1yNQzE/00004.m4a,/content/vox2/aac/id00154/BuecddErOwU/00032.m4a
id01892,id02725,multi_speaker_dataset/train/id01892_id02725_mix.wav,/content/vox2/aac/id01892/7sODin7rirc/00053.m4a,/content/vox2/aac/id02725/48uYS3bHIA8/00005.m4a
id03178,id02086,multi_speaker_dataset/train/id03178_id02086_mix.wav,/content/vox2/aac/id03178/eFZzhwgI50I/00254.m4a,/content/vox2/aac/id02086/HsCXzGLt0Cc/00189.m4a
id03127,id01460,multi_speaker_dataset/train/id03127_id01460_mix.wav,/content/vox2/aac/id03127/Lgd5qn2-kMo/00134.m4a,/content/vox2/aac/id01460/Es6CkRmkIBY/00080.m4a
id02542,id02745,multi_speaker_dataset/train/id02542_id02745_mix.wav,/content/vox2/aac/id02542/X1EwhLOXzpM/00038.m4a,/content/vox2/aac/id02745/5oDO9Avn0qg/00052.m4a
id03524,id01593,multi_speaker_dataset/train/id03524_id01593_mix.wav,/content/vox2/aac/id03524/T8R_BWJi2KI/00203.m4a,/content/vox2/aac/id01593/KKtTzbx5Glc/00245.m4a
id00817,id02057,multi_speaker_dataset/train/id00817_id02057_mix.wav,/content/vox2/aac/id00817/LBAXU_GOI54/00196.m4a,/content/vox2/aac/id02057/EKhTzMKYKb0/00139.m4a
id03178,id02445,multi_speaker_dataset/train/id03178_id02445_mix.wav,/content/vox2/aac/id03178/eFZzhwgI50I/00234.m4a,/content/vox2/aac/id02445/GbE1KUG6IUM/00026.m4a
id01541,id00061,multi_speaker_dataset/train/id01541_id00061_mix.wav,/content/vox2/aac/id01541/SWcGs-DbV9Q/00106.m4a,/content/vox2/aac/id00061/GtTmoAoWxMc/00056.m4a
id00154,id02725,multi_speaker_dataset/train/id00154_id02725_mix.wav,/content/vox2/aac/id00154/geNO_h-jZOc/00128.m4a,/content/vox2/aac/id02725/48uYS3bHIA8/00020.m4a
id01541,id02317,multi_speaker_dataset/train/id01541_id02317_mix.wav,/content/vox2/aac/id01541/WViRdsBRKtM/00165.m4a,/content/vox2/aac/id02317/jo3Byn9MxTk/00438.m4a
id01509,id00812,multi_speaker_dataset/train/id01509_id00812_mix.wav,/content/vox2/aac/id01509/oPC8ZShHMEs/00388.m4a,/content/vox2/aac/id00812/kOGC6Y4KZ8w/00334.m4a
id00562,id03127,multi_speaker_dataset/train/id00562_id03127_mix.wav,/content/vox2/aac/id00562/QXeKdcX0WhI/00113.m4a,/content/vox2/aac/id03127/QAySEL63CLw/00178.m4a
id01437,id02577,multi_speaker_dataset/train/id01437_id02577_mix.wav,/content/vox2/aac/id01437/BPACSuoMZ2k/00042.m4a,/content/vox2/aac/id02577/nUbewcS__Ww/00112.m4a
id02317,id01509,multi_speaker_dataset/train/id02317_id01509_mix.wav,/content/vox2/aac/id02317/fX8xG1WyL6w/00411.m4a,/content/vox2/aac/id01509/svqhcCqhyZ8/00425.m4a
id03041,id01041,multi_speaker_dataset/train/id03041_id01041_mix.wav,/content/vox2/aac/id03041/ZHMbrQNXnT0/00016.m4a,/content/vox2/aac/id01041/NNUYq9t3GrM/00250.m4a
id03524,id02286,multi_speaker_dataset/train/id03524_id02286_mix.wav,/content/vox2/aac/id03524/T8R_BWJi2KI/00188.m4a,/content/vox2/aac/id02286/YL75-u9XYUM/00109.m4a
id02019,id02286,multi_speaker_dataset/train/id02019_id02286_mix.wav,/content/vox2/aac/id02019/OfPKHc6w2vw/00073.m4a,/content/vox2/aac/id02286/4T-CluJt8WI/00022.m4a
id01618,id00419,multi_speaker_dataset/train/id01618_id00419_mix.wav,/content/vox2/aac/id01618/l5PhZHkIDGE/00136.m4a,/content/vox2/aac/id00419/_lCK7m-ohHk/00296.m4a
